,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,St. Lawrence,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
91,,,,,,,,,,,,,,,14280,,,,,,,,,,,,,,,11791,10153,,,,,,,,,,,,,,,,,,,,,11951,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11793,10154,,,,,,,,,,,,,,,,,,,,,11952,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11797,10155,,,,,,,,,,,,,,,,,,,,,11953,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11801,10156,,,,,,,,,,,,,,,,,,,,,11954,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11802,10157,,,,,,,,,,,,,,,,,,,,,11955,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11803,10158,,,,,,,,,,,,,,,,,,,,,11956,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11804,10159,,,,,,,,,,,,,,,,,,,,,11957,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11815,10160,,,,,,,,,,,,,,,,,,,,,11958,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11854,10161,,,,,,,,,,,,,,,,,,,,,11959,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11855,10162,,,,,,,,,,,,,,,,,,,,,11960,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10163,,,,,,,,,,,,,,,,,,,,,11961,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10164,,,,,,,,,,,,,,,,,,,,,11962,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10165,,,,,,,,,,,,,,,,,,,,,11963,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10166,,,,,,,,,,,,,,,,,,,,,11964,,,,,,,,,,
